Date,Open,High,Low,Close,Adj_Close,Volume
11/28/2018,18.870001,19.379999,18.18,18.49,18.49,0
11/29/2018,18.65,20.48,18.59,18.790001,18.790001,0
11/30/2018,19.18,19.91,18.030001,18.07,18.07,0
12/3/2018,16.040001,17.280001,15.94,16.440001,16.440001,0
12/4/2018,16.84,21.940001,16.26,20.74,20.74,0
12/6/2018,23.530001,25.940001,20.940001,21.190001,21.190001,0
12/7/2018,22.42,24.709999,19.9,23.23,23.23,0
12/10/2018,23.950001,25.940001,22.5,22.639999,22.639999,0
12/11/2018,22.959999,23.6,21.389999,21.76,21.76,0
12/12/2018,21.91,21.91,20.5,21.459999,21.459999,0
12/13/2018,21,21.57,20.34,20.65,20.65,0
12/14/2018,21.57,22.469999,20.950001,21.629999,21.629999,0
12/17/2018,22.360001,25.879999,21.969999,24.52,24.52,0
12/18/2018,24.68,26.139999,23.639999,25.58,25.58,0
12/19/2018,25.15,26.639999,22.5,25.58,25.58,0
12/20/2018,26.09,30.299999,24.68,28.379999,28.379999,0
12/21/2018,28.24,31.35,25.709999,30.110001,30.110001,0
12/24/2018,29.290001,36.099998,29.16,36.07,36.07,0
12/26/2018,35.5,36.200001,29.59,30.41,30.41,0
12/27/2018,31.200001,33.799999,29.66,29.959999,29.959999,0
12/28/2018,29.969999,31.049999,27.43,28.34,28.34,0
12/31/2018,27.59,27.639999,25.33,25.42,25.42,0
1/2/2019,27.540001,28.530001,23.049999,23.219999,23.219999,0
1/3/2019,25.68,26.6,24.049999,25.450001,25.450001,0
1/4/2019,24.360001,24.48,21.190001,21.379999,21.379999,0
1/7/2019,22.059999,22.709999,20.91,21.4,21.4,0
1/8/2019,20.959999,22.030001,20.09,20.469999,20.469999,0
1/9/2019,20.440001,22.799999,19.48,19.98,19.98,0
1/10/2019,20.98,21.32,19.290001,19.5,19.5,0
1/11/2019,19.68,20.16,18.120001,18.190001,18.190001,0
1/14/2019,19.84,20.27,18.700001,19.07,19.07,0
1/15/2019,18.530001,19.200001,17.98,18.6,18.6,0
